Id,SourceTagName,TargetTagName
"3","windows-forms","winforms"
"5","c-sharp","c#"
"7","hg","mercurial"
"9","dotnet",".net"
"10","threading","multithreading"
"11","multithread","multithreading"
"13","rails","ruby-on-rails"
"14","js","javascript"
"15","vc++","visual-c++"
"18","source-control","version-control"
"19","blog","blogs"
"21","ui","user-interface"
"22","vs2008","visual-studio-2008"
"23","vs2005","visual-studio-2005"
"24","vs2010","visual-studio-2010"
"27","primary-keys","primary-key"
"28","foreign-key","foreign-keys"
"29","postgres","postgresql"
"30","macosx","macos"
"32","j2me","java-me"
"33","ie","internet-explorer"
"34","msie","internet-explorer"
"35","applets","applet"
"38","ejb-3","ejb-3.0"
"45","glassfish-v3","glassfish-3"
"53","java-5.0","java-5"
"56","java-6.0","java-6"
"59","java-7.0","java-7"
"62","jee","jakarta-ee"
"67","jee-5","java-ee-5"
"72","jee-6","java-ee-6"
"75","java.io","java-io"
"79","jpa-2","jpa-2.0"
"83","jsf2.0","jsf-2"
"84","jsp-tag","jsp-tags"
"85","jsp-tag-files","jsp-tags"
"88","jsp-fragment","jsp-fragments"
"90","jsp-f","jsp-fragments"
"91","jspf","jsp-fragments"
"93","servlet","servlets"
"95","servlet-filter","servlet-filters"
"98","tomcat-5","tomcat-5.0"
"102","tomcat-6","tomcat-6.0"
"105","weblogic-8","weblogic-8.x"
"107","weblogic-8.1","weblogic-8.x"
"113","weblogic-10","weblogic-10.x"
"114","weblogic10.x","weblogic-10.x"
"116","weblogic-11","weblogic-11g"
"118","eclipse-ganymede","eclipse-3.4"
"119","eclipse-galileo","eclipse-3.5"
"120","eclipse-helios","eclipse-3.6"
"124","msvc++","visual-c++"
"125","msvc","visual-c++"
"127","team-system","visual-studio-team-system"
"129","visual-web","visual-web-developer"
"130","algorithms","algorithm"
"131","ai","artificial-intelligence"
"133","astar","a-star"
"135","baseclasses","base-class"
"136","batch-process","batch-processing"
"148","bit-field","bit-fields"
"153","code-snippet","code-snippets"
"156","snippets","code-snippets"
"157","snippet","code-snippets"
"158","code-style","coding-style"
"159","programming-style","coding-style"
"160","xsrf","csrf"
"162","dal","data-access-layer"
"164","di","dependency-injection"
"167","discussions","discussion"
"168","discuss","discussion"
"169","conversation","discussion"
"170","conversations","discussion"
"171","ddd","domain-driven-design"
"173","drag-drop","drag-and-drop"
"176","dont-repeat-yourself","dry"
"177","daylight-savings","dst"
"178","daylight-savings-time","dst"
"179","daylight","dst"
"180","duplicate","duplicates"
"181","fix","fix-protocol"
"184","font","fonts"
"185","fractal","fractals"
"186","programming-history","history"
"188","icon","icons"
"190","if","if-statement"
"194","inheritence","inheritance"
"195","i18n","internationalization"
"196","ioc","inversion-of-control"
"197","interprocess-communicatio","ipc"
"200","key-binding","key-bindings"
"201","licence","licensing"
"202","licences","licensing"
"203","licence-agreement","licensing"
"204","licence-agreements","licensing"
"205","license","licensing"
"206","licenses","licensing"
"207","license-agreement","licensing"
"208","license-agreements","licensing"
"209","l10n","localization"
"210","liskov-substitution","liskov-substitution-principle"
"213","mac-addr","mac-address"
"215","marshaling","marshalling"
"216","marshal","marshalling"
"219","method-chains","method-chaining"
"220","method-chain","method-chaining"
"221","operator","operator-keyword"
"223","plugin","plugins"
"226","regexp","regex"
"227","regular-expression","regex"
"228","regular-expressions","regex"
"231","single-responsibility","single-responsibility-principle"
"233","template","templates"
"240","ux","user-experience"
"241","units-of-measure","units-of-measurement"
"242","units","units-of-measurement"
"243","windows-api","winapi"
"246","asp-net","asp.net"
"247","asp-net-mvc","asp.net-mvc"
"248","asp-net-mvc2","asp.net-mvc-2"
"250","asp.net-mvc2","asp.net-mvc-2"
"251","mvc2","asp.net-mvc-2"
"255","c#.net","c#"
"263","ef","entity-framework"
"264","ef4","entity-framework-4"
"266","window-form","winforms"
"267","windows-form","winforms"
"268","window-forms","winforms"
"270","windows-form-designer","windows-forms-designer"
"271","app.config","app-config"
"273","bdb","berkeley-db"
"275","bdbje","berkeley-db-je"
"278","clustered-indexing","clustered-index"
"279","cte","common-table-expression"
"281","multiple-primary-keys","composite-primary-key"
"282","databases","database"
"283","data-warehousing","data-warehouse"
"286","embedded-db","embedded-database"
"289","oracle10g-express","oracle-xe"
"290","oracle-express","oracle-xe"
"293","mssql","sql-server"
"294","sql-express","sql-server-express"
"298","sql-compact","sql-server-ce"
"299","sql-server-compact","sql-server-ce"
"300","sql-mobile","sql-server-ce"
"302","stored-procedure","stored-procedures"
"303","sproc","stored-procedures"
"304","subqueries","subquery"
"313","os","operating-system"
"314","operating-systems","operating-system"
"315","macos10.6","osx-snow-leopard"
"316","snow-leopard","osx-snow-leopard"
"317","wince","windows-ce"
"319","win2k3","windows-server-2003"
"320","server-2003","windows-server-2003"
"321","win2k8","windows-server-2008"
"322","vista","windows-vista"
"325","winxp","windows-xp"
"327","win7","windows-7"
"328","windows-7-api","windows-7"
"335","team-foundation-server","tfs"
"336","team-foundation","tfs"
"337","team-foundation-build","tfsbuild"
"339","revision-control","version-control"
"340","scm","version-control"
"341","source-code-management","version-control"
"342","vss","visual-sourcesafe"
"343","as3","actionscript-3"
"344","adobe-flex","apache-flex"
"346","adobe-flex-2","flex-2"
"351","golang","go"
"352","go-language","go"
"366","chrome","google-chrome"
"368","ie6","internet-explorer-6"
"371","ie7","internet-explorer-7"
"374","ie8","internet-explorer-8"
"377","ie9","internet-explorer-9"
"380","weblogic-9","weblogic-9.x"
"382","timezones","timezone"
"383","timezoneinfo","timezone"
"384","web.config","web-config"
"385","transact-sql","tsql"
"387","chrome-os","google-chrome-os"
"388",".hgignore","hgignore"
"390","multi-threaded","multithreading"
"392","h264","h.264"
"393","msil","cil"
"394","aws","amazon-web-services"
"397","redemption","outlook-redemption"
"404","vs2008sp1","visual-studio-2008-sp1"
"407","ios-4.0","ios4"
"410","google-maps-v3","google-maps-api-3"
"412","android-mobile","android"
"413","google-maps-api","google-maps"
"414","python-2","python-2.x"
"419","wf","workflow-foundation"
